transport_type,line_number,vehicle_id,fleet_number,lat,lon,heading_deg,speed_kmh,floor_type,destination,snapshot_ts,snapshot_date
2,8,3393,91,59.42007,24.64524,354,,Z,Äigrumäe,2026-05-23 07:13:04+03,2026-05-23
2,8,1186,49,59.48699,24.86547,47,,Z,Äigrumäe,2026-05-23 07:13:34+03,2026-05-23
2,8,1236,34,59.46222,24.82413,234,,Z,Väike-Õismäe,2026-05-23 07:13:34+03,2026-05-23
2,8,1474,2,59.41192,24.63537,117,,Z,Väike-Õismäe,2026-05-23 07:13:34+03,2026-05-23
2,8,1476,61,59.43987,24.7386,64,,Z,Äigrumäe,2026-05-23 07:13:34+03,2026-05-23
2,8,1710,18,59.42928,24.70305,268,,Z,Väike-Õismäe,2026-05-23 07:13:34+03,2026-05-23
2,8,3393,91,59.42057,24.64445,281,,Z,Äigrumäe,2026-05-23 07:13:34+03,2026-05-23
2,8,1186,49,59.48811,24.87022,60,,Z,Äigrumäe,2026-05-23 07:14:04+03,2026-05-23
2,8,1236,34,59.46108,24.81941,244,,Z,Väike-Õismäe,2026-05-23 07:14:04+03,2026-05-23
2,8,1474,2,59.41192,24.63538,117,,Z,Väike-Õismäe,2026-05-23 07:14:04+03,2026-05-23
2,8,1476,61,59.44103,24.74152,52,,Z,Äigrumäe,2026-05-23 07:14:04+03,2026-05-23
2,8,1710,18,59.42941,24.69941,276,,Z,Väike-Õismäe,2026-05-23 07:14:04+03,2026-05-23
2,8,3393,91,59.42233,24.64496,48,,Z,Äigrumäe,2026-05-23 07:14:04+03,2026-05-23
2,8,1186,49,59.48946,24.87485,60,,Z,Äigrumäe,2026-05-23 07:14:34+03,2026-05-23
2,8,1236,34,59.45983,24.81528,235,,Z,Väike-Õismäe,2026-05-23 07:14:34+03,2026-05-23
2,8,1474,2,59.41191,24.63537,117,,Z,Väike-Õismäe,2026-05-23 07:14:34+03,2026-05-23
2,8,1476,61,59.44199,24.74516,57,,Z,Äigrumäe,2026-05-23 07:14:34+03,2026-05-23
2,8,1710,18,59.42944,24.6984,274,,Z,Väike-Õismäe,2026-05-23 07:14:34+03,2026-05-23
2,8,3393,91,59.4236,24.64822,39,,Z,Äigrumäe,2026-05-23 07:14:34+03,2026-05-23
2,8,1186,49,59.49072,24.8793,61,,Z,Äigrumäe,2026-05-23 07:15:05+03,2026-05-23
2,8,1236,34,59.45765,24.81153,219,,Z,Väike-Õismäe,2026-05-23 07:15:05+03,2026-05-23
2,8,1474,2,59.41191,24.63537,117,,Z,Väike-Õismäe,2026-05-23 07:15:05+03,2026-05-23
