stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,thoreb_id,date,source
1287,12005-1,Vabaduse väljak,,59.43202,24.74585,,,,1287,2026-05-23,gtfs
1288,12006-1,Vabaduse väljak,,59.43271,24.74588,,,,1288,2026-05-23,gtfs
1289,12007-1,Vabaduse väljak,,59.43322,24.74579,,,,1289,2026-05-23,gtfs
1324,12403-1,Vabaduse väljak,,59.43396,24.74633,,,,1324,2026-05-23,gtfs
1247,11301-1,Vineeri,,59.42376,24.74289,,,,1247,2026-05-23,gtfs
1248,11302-1,Vineeri,,59.42465,24.74273,,,,1248,2026-05-23,gtfs
1249,11303-1,Vineeri,,59.4229,24.74232,,,,1249,2026-05-23,gtfs
1250,11304-1,Vineeri,,59.42233,24.74234,,,,1250,2026-05-23,gtfs
1251,11305-1,Vineeri,,59.42465,24.74259,,,,1251,2026-05-23,gtfs
138683,11302-2,Vineeri,,59.42463,24.74269,,,,5703,2026-05-23,gtfs
1290,12101-1,Viru,,59.43618,24.75149,,,,1290,2026-05-23,gtfs
1291,12101-2,Viru,,59.43606,24.75113,,,,1291,2026-05-23,gtfs
1292,12102-1,Viru,,59.43547,24.74967,,,,1292,2026-05-23,gtfs
1634,21207-1,Viru,,59.43576,24.75095,,,,1634,2026-05-23,gtfs
1635,21208-1,Viru,,59.4363,24.75226,,,,1635,2026-05-23,gtfs
147026,11807-1,Lauluväljak,,59.4451,24.79787,,,,6158,2026-05-23,gtfs
150553,00152-1,Lauluväljak,,59.44604,24.80003,,,,6296,2026-05-23,gtfs
1335,12701-1,Lillepaviljon,,59.44843,24.80291,,,,1335,2026-05-23,gtfs
1336,12702-1,Lillepaviljon,,59.44812,24.80334,,,,1336,2026-05-23,gtfs
1337,12703-1,Maarjamägi,,59.45177,24.80689,,,,1337,2026-05-23,gtfs
1338,12704-1,Maarjamägi,,59.45293,24.80833,,,,1338,2026-05-23,gtfs
142464,12706-1,Mälestusvälja,,59.45648,24.81028,,,,5921,2026-05-23,gtfs
1223,10503-1,Linnahall,,59.44347,24.75011,,,,1223,2026-05-23,gtfs
158790,00182-1,Paberi,,59.43338,24.76385,,,,5888,2026-05-23,gtfs
158791,00183-1,Paberi,,59.43362,24.76357,,,,6369,2026-05-23,gtfs
158792,00188-1,Raua,,59.43639,24.76488,,,,6575,2026-05-23,gtfs
158793,00189-1,Raua,,59.43628,24.76442,,,,6579,2026-05-23,gtfs
136268,10507-1,Kanuti,,59.44091,24.75316,,,,4589,2026-05-23,gtfs
1225,10601-1,Suur Rannavärav,,59.4433,24.75034,,,,1225,2026-05-23,gtfs
